SpeciesID,G1,G2,G3,G4,mu1,mu2,mu3,mu4,F,wd
1,0.246028,0.068289,0.040415,0.036858,0.0174,0.0097,0.01037,0.01641,65.37,0.635
2,0.43427699999999997,0.22199300000000002,0.08938399999999999,0.067679,0.02851,0.02614,0.04981,0.06728,20.83,0.403
3,0.44238299999999997,0.16079000000000002,0.088258,0.067557,0.01576,0.00877,0.01479,0.02423,6.22,0.48
4,0.24152,0.09428299999999999,0.040931,0.036925,0.03148,0.0289,0.03492,0.04557,16.83,0.653
5,0.32687,0.123125,0.060104000000000005,0.049945,0.02227,0.01592,0.02272,0.03323,6.24,0.6
